round,model,structure,params,val_mae,val_mse,train_time_s,best_epoch,best_val_loss,final_val_loss,final_train_loss,split_mode
r8,baseline,Last Value（取输入最后1个OT值重复24步）,0,1.2838986,2.9112365,0.02,-,-,-,-,time-first
r8,linear,Linear(672→24),16152,1.2982606,2.871864,58.45,200,0.041205,0.041205,0.080714,time-first
r8,mlp,MLP(672→128×2层→24),105752,2.9185967,12.731298,112.96,25,0.182666,0.225158,0.014271,time-first
r8,cnn,"CNN(kernel=5, channels=32)",1944,2.466294,9.567145,89.67,19,0.137268,0.165888,0.151177,time-first
r8,lstm,"LSTM(2层, hidden=64)",53528,1.9497565,6.085624,1929.43,36,0.087315,0.558435,0.023434,time-first
r9,baseline,Last Value（取输入最后1个OT值重复24步）,0,1.2838985919952393,2.911236524581909,0.05,-,-,-,-,time-first
r9,linear,Linear(672→24),16152,1.2982605695724487,2.871864080429077,64.2,200,0.041205,0.041205,0.080714,time-first
r9,mlp,MLP(672→64×2层→24),48792,3.4601938724517822,15.970181465148926,107.44,5,0.229137,0.510108,0.021287,time-first
r9,cnn,"CNN(kernel=5, channels=32)",1944,2.466294050216675,9.567145347595217,179.24,19,0.137268,0.165888,0.151177,time-first
r9,lstm,"LSTM(2层, hidden=64)",53528,1.949756503105164,6.0856242179870605,2725.11,36,0.087315,0.558435,0.023434,time-first
r10,baseline,Last Value（取输入最后1个OT值重复24步）,0,1.2838985919952393,2.911236524581909,0.04,-,-,-,-,time-first
r10,linear,Linear(672→24),16152,1.2982605695724487,2.871864080429077,65.67,200,0.041205,0.041205,0.080714,time-first
r10,mlp,MLP(672→128×2层→24),105752,2.918596744537353,12.731298446655272,57.98,25,0.182666,0.225158,0.014271,time-first
r10,cnn,"CNN(kernel=3, channels=32)",1496,2.2504425048828125,8.224727630615234,98.33,25,0.118007,0.154278,0.155414,time-first
r10,lstm,"LSTM(2层, hidden=64)",53528,1.949756503105164,6.0856242179870605,2642.05,36,0.087315,0.558435,0.023434,time-first
r11,baseline,Last Value（取输入最后1个OT值重复24步）,0,1.2838985919952393,2.911236524581909,0.04,-,-,-,-,time-first
r11,linear,Linear(672→24),16152,1.2982605695724487,2.871864080429077,62.0,200,0.041205,0.041205,0.080714,time-first
r11,mlp,MLP(672→128×2层→24),105752,2.918596744537353,12.731298446655272,110.48,25,0.182666,0.225158,0.014271,time-first
r11,cnn,"CNN(kernel=5, channels=32)",1944,2.466294050216675,9.567145347595217,176.01,19,0.137268,0.165888,0.151177,time-first
r11,lstm,"LSTM(1层, hidden=32)",6040,1.8713184595108032,5.632738590240479,895.61,67,0.080818,0.136597,0.065334,time-first
r12,baseline,Last Value（取输入最后1个OT值重复24步）,0,1.2838985919952393,2.911236524581909,0.04,-,-,-,-,time-first
r12,linear,Linear(672→24),16152,1.3808904886245728,3.166000366210937,60.42,67,0.045425,0.045561,0.085786,time-first
r12,mlp,MLP(672→128×2层→24),105752,2.815275192260742,11.75838565826416,107.21,98,0.168707,0.302941,0.008805,time-first
r12,cnn,"CNN(kernel=5, channels=32)",1944,2.490635395050049,9.766135215759276,164.25,2,0.140123,0.49369,0.102197,time-first
r12,lstm,"LSTM(2层, hidden=64)",53528,1.853998064994812,5.646139621734619,29952.56,5,0.08101,0.23579,0.005305,time-first
r13,baseline,Last Value（取输入最后1个OT值重复24步）,0,1.2838985919952393,2.911236524581909,0.02,-,-,-,-,time-first
r13,linear,Linear(672→24),16152,1.3225291967391968,2.9361491203308105,25.33,200,0.042127,0.042127,0.081541,time-first
r13,mlp,MLP(672→128×2层→24),105752,2.7008538246154785,11.997614860534668,45.51,65,0.17214,0.198943,0.016951,time-first
r13,cnn,"CNN(kernel=5, channels=32)",1944,2.517376184463501,9.913137435913086,47.74,37,0.142232,0.186195,0.1574,time-first
r13,lstm,"LSTM(2层, hidden=64)",53528,1.868229866027832,5.6302103996276855,592.5,57,0.080781,0.282493,0.036784,time-first
r14,baseline,Last Value（取输入最后1个OT值重复24步）,0,1.2838985919952393,2.911236524581909,0.02,-,-,-,-,time-first
r14,linear,Linear(672→24),16152,1.315299391746521,2.9335155487060547,17.58,100,0.04209,0.04209,0.082601,time-first
r14,mlp,MLP(672→128×2层→24),105752,2.918596744537353,12.731298446655272,26.25,25,0.182666,0.222216,0.019487,time-first
r14,cnn,"CNN(kernel=5, channels=32)",1944,2.466294050216675,9.567145347595217,30.48,19,0.137268,0.175484,0.158869,time-first
r14,lstm,"LSTM(2层, hidden=64)",53528,1.949756503105164,6.0856242179870605,521.23,36,0.087315,0.202529,0.051228,time-first
r15,baseline,Last Value（取输入最后1个OT值重复24步）,0,1.2838985919952393,2.911236524581909,0.04,-,-,-,-,time-first
r15,linear,Linear(672→24),16152,1.3735684156417847,3.211977243423462,49.68,61,0.046085,0.046246,0.083565,time-first
r15,mlp,MLP(672→128×2层→24),105752,2.41833233833313,8.87083911895752,80.2,6,0.127277,0.180293,0.012218,time-first
r15,cnn,"CNN(kernel=3, channels=32)",1496,2.350818634033203,8.854390144348145,111.62,5,0.127041,0.432843,0.123617,time-first
r15,lstm,"LSTM(1层, hidden=32)",6040,1.8609102964401245,5.598050594329834,624.82,20,0.08032,0.279878,0.037687,time-first
